gemini_output,name,address
Kura Sushi: Multiple Locations,Kura Sushi,"2151 Lemoine Ave, Fort Lee, NJ 07024, United States"
Kura Sushi: Multiple Locations,Kura Sushi,"133-33 39th Ave, Queens, NY 11354, United States"
Kura Sushi: Multiple Locations,Kura Sushi,"525 Washington Blvd, Jersey City, NJ 07310, United States"
Kura Sushi: Multiple Locations,Kura Sushi,"G15/G16, 133-36 37th Ave, Flushing, NY 11354, United States"
Kura Sushi: Multiple Locations,Kura Sushi,"47 Old Country Rd, Carle Place, NY 11514, United States"
Kura Sushi: Multiple Locations,Kura Sushi,"913a Central Park Ave, Scarsdale, NY 10583, United States"
Kura Sushi: Multiple Locations,Kura Sushi,"1781 NJ-27 Suite 101, Edison, NJ 08817, United States"
Kura Sushi: Multiple Locations,Kura Sushi,"200 Baychester Ave, Bronx, NY 10475, United States"
Kura Sushi: Multiple Locations,Kura Sushi,"1721 Chestnut St, Philadelphia, PA 19102, United States"
Go! Go! Curry!: Multiple Locations,Go! Go! Curry!,"43-31 33rd St 4th FL, Queens, NY 11101, United States"
Go! Go! Curry!: Multiple Locations,Go! Go! Curry!,"235 E 53rd St, New York, NY 10022, United States"
Go! Go! Curry!: Multiple Locations,Go! Go! Curry!,"273 W 38th St, New York, NY 10018, United States"
Go! Go! Curry!: Multiple Locations,Go! Go! Curry!,"12 John St, New York, NY 10038, United States"
Go! Go! Curry!: Multiple Locations,Go! Go! Curry!,"1 William St, Newark, NJ 07102, United States"
"Terakawa Ramen: 18 Lexington Ave, New York, NY 10010",Terakawa Ramen,"18 Lexington Ave, New York, NY 10010"
"Ramen Ishida: 122 E 7th St, New York, NY 10009",Ramen Ishida,"122 E 7th St, New York, NY 10009"
Ivan Ramen: Multiple Locations,Ivan Ramen,"25 Clinton St, New York, NY 10002, United States"
"Momofuku Kāwi: 163 First Ave, New York, NY 10003",Momofuku Kāwi,"163 First Ave, New York, NY 10003"
MáLà Project: Multiple Locations,MáLà Project,"122 1st Ave., New York, NY 10009, United States"
MáLà Project: Multiple Locations,MáLà Project,"245 E 53rd St, New York, NY 10022, United States"
MáLà Project: Multiple Locations,MáLà Project,"41 W 46th St, New York, NY 10036, United States"
MáLà Project: Multiple Locations,MáLà Project,"603 Manhattan Ave, Brooklyn, NY 11222, United States"
"Davelle: 46 Bowery St, New York, NY 10013",Davelle,"46 Bowery St, New York, NY 10013"
"Niche Niche: 43 Macdougal St, New York, NY 10012",Niche Niche,"43 Macdougal St, New York, NY 10012"
"Taro Sushi: 1822 2nd Ave, New York, NY 10128",Taro Sushi,"1822 2nd Ave, New York, NY 10128"
"Sushi Choshi: 13 E 47th St, New York, NY 10017",Sushi Choshi,"13 E 47th St, New York, NY 10017"
"Hatsuhana: 17 E 48th St, New York, NY 10017",Hatsuhana,"17 E 48th St, New York, NY 10017"
"Sushi of Gari 46: 347 W 46th St, New York, NY 10036",Sushi of Gari 46,"347 W 46th St, New York, NY 10036"
"Aburiya Raku: 120 E 40th St, New York, NY 10016",Aburiya Raku,"120 E 40th St, New York, NY 10016"
"Mifune: 245 E 44th St, New York, NY 10017",Mifune,"245 E 44th St, New York, NY 10017"
"Zuma: 261 Madison Ave, New York, NY 10016",Zuma,"261 Madison Ave, New York, NY 10016"
"EN Japanese Brasserie: 435 Hudson St, New York, NY 10014",EN Japanese Brasserie,"435 Hudson St, New York, NY 10014"
"Ootoya Chelsea: 141 W 17th St, New York, NY 10011",Ootoya Chelsea,"141 W 17th St, New York, NY 10011"
"Momosan Ramen & Sake: 342 Lexington Ave, New York, NY 10016",Momosan Ramen & Sake,"342 Lexington Ave, New York, NY 10016"
"Menchanko-Tei: 39 W 55th St, New York, NY 10019",Menchanko-Tei,"39 W 55th St, New York, NY 10019"
"Izakaya Samurice: 252 W 14th St, New York, NY 10011",Izakaya Samurice,"252 W 14th St, New York, NY 10011"
"Ramen Danbo: 133 2nd Ave, New York, NY 10003",Ramen Danbo,"133 2nd Ave, New York, NY 10003"
"Suki: 140 W Houston St, New York, NY 10012",Suki,"140 W Houston St, New York, NY 10012"
"Sen Sakana: 28 W 44th St, New York, NY 10036",Sen Sakana,"28 W 44th St, New York, NY 10036"
"Kintsugi NYC: 20 Grand St, New York, NY 10013",Kintsugi NYC,"20 Grand St, New York, NY 10013"
"Uogashi: 121 E 17th St, New York, NY 10003",Uogashi,"121 E 17th St, New York, NY 10003"
"Ganso Ramen: 25 Bond St, Brooklyn, NY 11201",Ganso Ramen,"25 Bond St, Brooklyn, NY 11201"
"Zenkichi: 77 N 6th St, Brooklyn, NY 11249",Zenkichi,"77 N 6th St, Brooklyn, NY 11249"
"Okonomi: 150 Ainslie St, Brooklyn, NY 11211",Okonomi,"150 Ainslie St, Brooklyn, NY 11211"
"Yuca Bar: 111 Avenue A, New York, NY 10009",Yuca Bar,"111 Avenue A, New York, NY 10009"
"Robataya: 231 E 9th St, New York, NY 10003",Robataya,"231 E 9th St, New York, NY 10003"
"Nur: 34 E 20th St, New York, NY 10003",Nur,"34 E 20th St, New York, NY 10003"
"Sobaya Chelsea: 229 9th Ave, New York, NY 10001",Sobaya Chelsea,"229 9th Ave, New York, NY 10001"
"Domodomo Jersey City: 200 Greene St, Jersey City, NJ 07302",Domodomo Jersey City,"200 Greene St, Jersey City, NJ 07302"
"Ramen Misoya: 129 2nd Ave, New York, NY 10003",Ramen Misoya,"129 2nd Ave, New York, NY 10003"
"Jun-Men Ramen Bar: 249 E 52nd St, New York, NY 10022",Jun-Men Ramen Bar,"249 E 52nd St, New York, NY 10022"
"Momoya Soho: 47 Prince St, New York, NY 10012",Momoya Soho,"47 Prince St, New York, NY 10012"
"Takumen: 191B Orchard St, New York, NY 10002",Takumen,"191B Orchard St, New York, NY 10002"
"Cocoron: 61 Delancey St, New York, NY 10002",Cocoron,"61 Delancey St, New York, NY 10002"
"Bar Gonzo: 154 Orchard St, New York, NY 10002",Bar Gonzo,"154 Orchard St, New York, NY 10002"
"Sobakoh: 309 E 5th St, New York, NY 10003",Sobakoh,"309 E 5th St, New York, NY 10003"
"Sunrise Mart: 494 Broome St, New York, NY 10013",Sunrise Mart,"494 Broome St, New York, NY 10013"
"Ootoya Times Square: 141 W 41st St, New York, NY 10036",Ootoya Times Square,"141 W 41st St, New York, NY 10036"
"Men Kui Tei: 56 W 13th St, New York, NY 10011",Men Kui Tei,"56 W 13th St, New York, NY 10011"
"Ramen-Ya: 328 E 6th St, New York, NY 10003",Ramen-Ya,"328 E 6th St, New York, NY 10003"
"Sanpuku: 210 9th Ave, New York, NY 10001",Sanpuku,"210 9th Ave, New York, NY 10001"
"Minca: 536 E 5th St, New York, NY 10009",Minca,"536 E 5th St, New York, NY 10009"
"Ramen Setagaya: 141 1st Ave, New York, NY 10003",Ramen Setagaya,"141 1st Ave, New York, NY 10003"
"Naruto Ramen: 1596 1st Ave, New York, NY 10028",Naruto Ramen,"1596 1st Ave, New York, NY 10028"
"Tamashii Ramen: 448 3rd Ave, Brooklyn, NY 11215",Tamashii Ramen,"448 3rd Ave, Brooklyn, NY 11215"
"Karasu: 935 Fulton St, Brooklyn, NY 11238",Karasu,"935 Fulton St, Brooklyn, NY 11238"
"Bar Chuko Izakaya: 55 E 13th St, New York, NY 10003",Bar Chuko Izakaya,"55 E 13th St, New York, NY 10003"
"Akashi: 280 9th Ave, New York, NY 10001",Akashi,"280 9th Ave, New York, NY 10001"
"Kyo Ya: 94 E 7th St, New York, NY 10009",Kyo Ya,"94 E 7th St, New York, NY 10009"
"Rai Rai Ken: 218 E 10th St, New York, NY 10003",Rai Rai Ken,"218 E 10th St, New York, NY 10003"
"Izakaya NoMad: 13 W 26th St, New York, NY 10010",Izakaya NoMad,"13 W 26th St, New York, NY 10010"
"Sobaya West Village: 229 9th Ave, New York, NY 10001",Sobaya West Village,"229 9th Ave, New York, NY 10001"
"Shabu-Tatsu: 216 E 10th St, New York, NY 10003",Shabu-Tatsu,"216 E 10th St, New York, NY 10003"
"Yopparai: 150 E 46th St, New York, NY 10017",Yopparai,"150 E 46th St, New York, NY 10017"
"Yakitori Taisho: 5 St Marks Pl, New York, NY 10003",Yakitori Taisho,"5 St Marks Pl, New York, NY 10003"
"Dr Clark: 104 2nd Ave, New York, NY 10003",Dr Clark,"104 2nd Ave, New York, NY 10003"
"Hi-Collar: 214 E 10th St, New York, NY 10003",Hi-Collar,"214 E 10th St, New York, NY 10003"
"Soba Nippon: 19 W 52nd St, New York, NY 10019",Soba Nippon,"19 W 52nd St, New York, NY 10019"
"Soba Totto: 251 W 52nd St # 1, New York, NY 10019",Soba Totto,"251 W 52nd St # 1, New York, NY 10019"
"Raku: 48 MacDougal St, New York, NY 10012",Raku,"48 MacDougal St, New York, NY 10012"
"Enjb: 207 E 75th St, New York, NY 10021",Enjb,"207 E 75th St, New York, NY 10021"
"Zutto Japanese American Pub: 77 Hudson St, New York, NY 10006",Zutto Japanese American Pub,"77 Hudson St, New York, NY 10006"
"Momofuku Nishi: 232 Eighth Ave, New York, NY 10011",Momofuku Nishi,"232 Eighth Ave, New York, NY 10011"
"Ootoya Midtown West: 8 W 36th St, New York, NY 10018",Ootoya Midtown West,"8 W 36th St, New York, NY 10018"
"Curry-Ya: 214 E 10th St, New York, NY 10003",Curry-Ya,"214 E 10th St, New York, NY 10003"
"Ramen Shack: 120 W 3rd St, New York, NY 10012",Ramen Shack,"120 W 3rd St, New York, NY 10012"
"Bessou: 5 Bleecker St, New York, NY 10012",Bessou,"5 Bleecker St, New York, NY 10012"
"Hanon: 55 St Marks Pl, New York, NY 10003",Hanon,"55 St Marks Pl, New York, NY 10003"
"Bar Moga: 128 W Houston St, New York, NY 10012",Bar Moga,"128 W Houston St, New York, NY 10012"
"Tonchin: 13 W 36th St, New York, NY 10018",Tonchin,"13 W 36th St, New York, NY 10018"
"Ikinari Steak: 90 E 10th St, New York, NY 10003",Ikinari Steak,"90 E 10th St, New York, NY 10003"
"Takumi by Daikaya: 735 8th Ave, New York, NY 10036",Takumi by Daikaya,"735 8th Ave, New York, NY 10036"
"Sobaya East Village: 229 E 9th St, New York, NY 10003",Sobaya East Village,"229 E 9th St, New York, NY 10003"
Mr Taka Ramen: Multiple Locations,Mr Taka Ramen,"170 Allen St, New York, NY 10002, United States"
Mr Taka Ramen: Multiple Locations,Mr Taka Ramen,"55 Water St, Brooklyn, NY 11201, United States"
Mr Taka Ramen: Multiple Locations,Mr Taka Ramen,"368 Stratford Rd, Brooklyn, NY 11218, United States"
"Ramen by MEW: 180 W 4th St, New York, NY 10014",Ramen by MEW,"180 W 4th St, New York, NY 10014"
"Nakamura: 172 Delancey St, New York, NY 10002",Nakamura,"172 Delancey St, New York, NY 10002"
"Tsurutontan: 21 E 16th St, New York, NY 10003",Tsurutontan,"21 E 16th St, New York, NY 10003"
"Yakitori Torishin: 274 W 23rd St, New York, NY 10011",Yakitori Torishin,"274 W 23rd St, New York, NY 10011"
"Sushi Inoue: 381 Lenox Ave, New York, NY 10027",Sushi Inoue,"381 Lenox Ave, New York, NY 10027"
"Omakase by Hiro: 310 W 53rd St, New York, NY 10019",Omakase by Hiro,"310 W 53rd St, New York, NY 10019"
"Omakase Room by Mitsu: 9 Jones St, New York, NY 10014",Omakase Room by Mitsu,"9 Jones St, New York, NY 10014"
"Kanoyama: 175 2nd Ave, New York, NY 10003",Kanoyama,"175 2nd Ave, New York, NY 10003"
"Sushi Amane: 245 E 44th St, New York, NY 10017",Sushi Amane,"245 E 44th St, New York, NY 10017"
"Yakitori Zai: 156 Chambers St, New York, NY 10007",Yakitori Zai,"156 Chambers St, New York, NY 10007"
"Udon Lab: 120 St Marks Pl, New York, NY 10009",Udon Lab,"120 St Marks Pl, New York, NY 10009"
"Kambi Ramen House: 546 W 112th St, New York, NY 10025",Kambi Ramen House,"546 W 112th St, New York, NY 10025"
"Rai Rai Ken Midtown: 568 3rd Ave, New York, NY 10016",Rai Rai Ken Midtown,"568 3rd Ave, New York, NY 10016"
"Sushi Katsuei: 210 E 44th St, New York, NY 10017",Sushi Katsuei,"210 E 44th St, New York, NY 10017"
"Bar Moga East: 1 E 13th St, New York, NY 10003",Bar Moga East,"1 E 13th St, New York, NY 10003"
"Koyo: 205 Chrystie St, New York, NY 10002",Koyo,"205 Chrystie St, New York, NY 10002"
Sushi by Bou: Multiple Locations,Sushi by Bou,"32 E 32nd St, New York, NY 10016, United States"
Sushi by Bou: Multiple Locations,Sushi by Bou,"132 W 47th St, New York, NY 10036, United States"
Sushi by Bou: Multiple Locations,Sushi by Bou,"232 7th Ave, New York, NY 10011, United States"
Sushi by Bou: Multiple Locations,Sushi by Bou,"922 Broadway, New York, NY 10010, United States"
Sushi by Bou: Multiple Locations,Sushi by Bou,"At hotel, 3232 E 32nd St Suite 1001, New York, NY 10016, United States"
Sushi by Bou: Multiple Locations,Sushi by Bou,"225 River St, Hoboken, NJ 07030, United States"
Sushi by Bou: Multiple Locations,Sushi by Bou,"38-29 Bell Blvd, Bayside, NY 11361, United States"
Sushi by Bou: Multiple Locations,Sushi by Bou,"10 E 8th St, New York, NY 10003, United States"
Sushi by Bou: Multiple Locations,Sushi by Bou,"218 Newark Ave, Jersey City, NJ 07302, United States"
"Sushi on Me: 176 Orchard St, New York, NY 10002",Sushi on Me,"176 Orchard St, New York, NY 10002"
"Momofuku Má Pêche: 15 W 56th St, New York, NY 10019",Momofuku Má Pêche,"15 W 56th St, New York, NY 10019"
"Soba Noodle Azuma: 490 8th Ave, New York, NY 10001",Soba Noodle Azuma,"490 8th Ave, New York, NY 10001"
"Udon Time: 145 E 45th St, New York, NY 10017",Udon Time,"145 E 45th St, New York, NY 10017"
"Aburiya Raku - East Village: 28 Greenwich Ave, New York, NY 10011",Aburiya Raku - East Village,"28 Greenwich Ave, New York, NY 10011"
"Don Wagyu: 28 S William St, New York, NY 10004",Don Wagyu,"28 S William St, New York, NY 10004"
"Icca: 55 Franklin St, New York, NY 10013",Icca,"55 Franklin St, New York, NY 10013"
Wagamama: Multiple Locations,Wagamama,"100 W 55th St, New York, NY 10019, United States"
Wagamama: Multiple Locations,Wagamama,"605 3rd Ave, New York, NY 10158, United States"
Wagamama: Multiple Locations,Wagamama,"210 fifth avenue, W 26th St at, New York, NY 10010, United States"
Totto Ramen: Multiple Locations,Totto Ramen,"248 E 52nd St, New York, NY 10022, United States"
Totto Ramen: Multiple Locations,Totto Ramen,"464 W 51st St, New York, NY 10019, United States"
"Terakawa Ramen: 18 Lexington Ave, New York, NY 10010",Terakawa Ramen,"18 Lexington Ave, New York, NY 10010"
"Uchu Kaiseki Bar: 217 Eldridge St, New York, NY 10002",Uchu Kaiseki Bar,"217 Eldridge St, New York, NY 10002"
"Izakaya Torishin: 362 W 53rd St, New York, NY 10019",Izakaya Torishin,"362 W 53rd St, New York, NY 10019"
"Sushi by Bae: 430 E 9th St, New York, NY 10009",Sushi by Bae,"430 E 9th St, New York, NY 10009"
"Bohemian Soho: 24 Minetta Ln, New York, NY 10012",Bohemian Soho,"24 Minetta Ln, New York, NY 10012"
"Kiko: 146 Duane St, New York, NY 10013",Kiko,"146 Duane St, New York, NY 10013"
"Meijin Ramen: 360 W 46th St, New York, NY 10036",Meijin Ramen,"360 W 46th St, New York, NY 10036"
"Mew York City: 53 W 35th St 2nd Fl, New York, NY 10001",Mew York City,"53 W 35th St 2nd Fl, New York, NY 10001"
"Nami Nori Williamsburg: 276 Metropolitan Ave, Brooklyn, NY 11211",Nami Nori Williamsburg,"276 Metropolitan Ave, Brooklyn, NY 11211"
"Houseman: 508 Greenwich St, New York, NY 10013",Houseman,"508 Greenwich St, New York, NY 10013"
"Izakaya Bar Masa: 113 Thompson St, New York, NY 10012",Izakaya Bar Masa,"113 Thompson St, New York, NY 10012"
"Momofuku CCDC: 1090 I St NW, Washington, DC 20001",Momofuku CCDC,"1090 I St NW, Washington, DC 20001"
"Sobaya Lincoln Center: 19 W 44th St, New York, NY 10036",Sobaya Lincoln Center,"19 W 44th St, New York, NY 10036"
"Udon Noodle Shop: 308 E 49th St, New York, NY 10017",Udon Noodle Shop,"308 E 49th St, New York, NY 10017"
